city,deliveryTime,foodType,price,restaurantName
adilabad,-- MINS,"Street Food, Chaat",₹100 FOR TWO,Fayeem mirchi centre
adilabad,-- MINS,Chinese,₹100 FOR TWO,Ayappa Fast Food
adilabad,-- MINS,"Street Food, Snacks, Indian",₹100 FOR TWO,Neelesh kichidi centre
adilabad,-- MINS,Indian,₹100 FOR TWO,Savitha sweet centre
adilabad,-- MINS,"Street Food, Indian",₹110 FOR TWO,Shaifan tiffin centre
adilabad,-- MINS,South Indian,₹200 FOR TWO,Ayyappa Mess
ajmer,42 MINS,"Italian, American, Continental, Beverages",₹200 FOR TWO,Social Animals Cafe
ajmer,31 MINS,North Indian,₹200 FOR TWO,Cafe Ate Pm
ajmer,27 MINS,North Indian,₹350 FOR TWO,Annapurna Veg Restaurant
ajmer,47 MINS,North Indian,₹250 FOR TWO,Chamunda Restaurant 
ajmer,35 MINS,North Indian,₹200 FOR TWO,Punjabi Bytes N Roll
agartala,30 MINS,Indian,₹200 FOR TWO,Trinayani
ajmer,32 MINS,North Indian,₹300 FOR TWO,Manoj Fast Food
ajmer,33 MINS,North Indian,₹200 FOR TWO,Bhabhi ji ki rasoi
ajmer,29 MINS,North Indian,₹200 FOR TWO,Rajdeep Family Restaurant
ajmer,31 MINS,"Chinese, Fast Food, North Indian",₹250 FOR TWO,L R Venus Cafe
agartala,32 MINS,"North Indian, Bakery, Desserts, Chinese",₹200 FOR TWO,Sherowali Sweets And Fast Foods
agartala,30 MINS,"North Indian, Chinese",₹300 FOR TWO,Daya Hari Chatpata
agartala,41 MINS,"Chinese, Asian, Korean, Beverages",₹250 FOR TWO,Momos N More
agartala,29 MINS,Desserts,₹100 FOR TWO,Gopal Mistanna Bhandar
ahmedabad,21 MINS,"North Indian, Punjabi",₹200 FOR TWO,The Swad
ajmer,40 MINS,"Afghani, Chinese, North Indian",₹150 FOR TWO,The Food Farm
ajmer,36 MINS,North Indian,₹200 FOR TWO,"Meera'""s Kitchen"
ajmer,30 MINS,North Indian,₹300 FOR TWO,Manoj kake di hatti - Martin Bridge
achalpur,-- MINS,Fast Food,₹200 FOR TWO,Khushi fast food
agra,28 MINS,North Indian,₹200 FOR TWO,Awadhi Foods
agartala,30 MINS,"Sweets, Desserts",₹150 FOR TWO,Sherowali Sweets
agartala,35 MINS,Indian,₹175 FOR TWO,Abar Khabo
agartala,31 MINS,"Indian, Chinese, Sweets",₹175 FOR TWO,Daya Hari Mithai
agartala,32 MINS,"American, Fast Food, Snacks",₹450 FOR TWO,KFC
ahmedabad,26 MINS,"North Indian, Chinese, Combo, Thalis, Punjabi, Indian, Beverages, Salads, Home F...",₹200 FOR TWO,Food On Way
ahmedabad,23 MINS,"North Indian, Chinese, Gujarati, Thalis, Navratri Special, Biryani, Indian, Beve...",₹300 FOR TWO,Meal Express - a brand by The Healthy Stove
