city,deliveryTime,foodType,price,restaurantName
adityapur,42 MINS,Indian,₹200 FOR TWO,SECOND WIFE RESTAURANT
ahmedabad,-- MINS,Snacks,₹100 FOR TWO,CHAMUNDA FOOD CENTER
ahmedabad,-- MINS,"North Indian, Indian",₹300 FOR TWO,Deshi Chulha Nonveg
ahmedabad,-- MINS,"Fast Food, Pizzas",₹300 FOR TWO,Shree Navrang Sandwich And Pizza
adilabad,-- MINS,"Street Food, Indian",₹110 FOR TWO,Shaifan tiffin centre
adilabad,-- MINS,South Indian,₹250 FOR TWO,Renuka Hotel
adilabad,-- MINS,South Indian,₹200 FOR TWO,Ayyappa Mess
agra,39 MINS,South Indian,₹300 FOR TWO,Tirupati's Dosa Factory
adityapur,56 MINS,"Chinese, Indian",₹150 FOR TWO,All in One Restaurant
adityapur,65 MINS,Indian,₹200 FOR TWO,HAPPIE ALL DAY
adityapur,51 MINS,Indian,₹200 FOR TWO,Kaveri (Adityapur)
abohar,-- MINS,North Indian,₹100 FOR TWO,Shri Balaji Vaishno Dhaba
ahmedabad,-- MINS,Indian,₹200 FOR TWO,LAXMI VIJAY HOTEL
ahmedabad,-- MINS,Indian,₹200 FOR TWO,FavR47
ahmedabad,-- MINS,"Street Food, Fast Food",₹150 FOR TWO,KARNAVATI DABELI
adilabad,-- MINS,"European, Italian",₹150 FOR TWO,Hot N Chill Restaurant
agra,36 MINS,North Indian,₹200 FOR TWO,Desi Masala
agra,31 MINS,North Indian,₹600 FOR TWO,Labbaik Chicken Corner
adityapur,39 MINS,"Indian, Chinese, Tandoor",₹400 FOR TWO,Motel Madhuban
adityapur,44 MINS,Bakery,₹200 FOR TWO,Indian Bakery
adityapur,39 MINS,"Chinese, South Indian",₹200 FOR TWO,FOOD MOOD
abohar,-- MINS,North Indian,₹150 FOR TWO,shere punjab veg
abohar,-- MINS,Beverages,₹100 FOR TWO,theka coffee desi
abohar,-- MINS,North Indian,₹250 FOR TWO,Kurda Ram Foods
ahmedabad,-- MINS,"Snacks, Fast Food",₹200 FOR TWO,SAMIYOSA FOODS - NARANPURA
ahmedabad,-- MINS,"North Indian, Chinese",₹500 FOR TWO,Hotel Cosmopolitan - Coriander
ahmedabad,-- MINS,Fast Food,₹110 FOR TWO,Ankurwala Anand Dalwada Centre 
agra,33 MINS,North Indian,₹250 FOR TWO,Om Restaurant
agra,40 MINS,"Chinese, Fast Food, North Indian, Mughlai, Street Food",₹200 FOR TWO,Mama Chicken Mama Franky House
agra,31 MINS,"Fast Food, Italian, Beverages",₹250 FOR TWO,MasterChef Italian Fast Food Corner
adityapur,46 MINS,"Indian, Chinese, Combo, Tandoor, Pizzas, Oriental, South Indian, Biryani",₹400 FOR TWO,Chef Corner
adityapur,44 MINS,"Pizzas, Italian",₹200 FOR TWO,Pizzapuram
adityapur,45 MINS,Chinese,₹200 FOR TWO,What's up Food
abohar,-- MINS,"Sweets, Beverages",₹200 FOR TWO,chacha sweets house
abohar,-- MINS,"Beverages, Fast Food, North Indian",₹200 FOR TWO,Nikku Chaap Cafe
abohar,-- MINS,North Indian,₹200 FOR TWO,Kurda Ram Satyanarayan
ahmedabad,-- MINS,Pizzas,₹200 FOR TWO,Bhudev Food
ahmedabad,-- MINS,Cafe,₹500 FOR TWO,Little French House - Bakery & Cafe
ahmedabad,-- MINS,"Punjabi, South Indian, Fast Food",₹250 FOR TWO,Shekhawati Foods
agra,35 MINS,North Indian,₹400 FOR TWO,Shan-E-Hind
agra,35 MINS,"Street Food, Indian, Chinese",₹100 FOR TWO,Radha rani food corner
agra,30 MINS,"Desserts, Sweets",₹200 FOR TWO,Hindustan Dairy and sweets
adityapur,37 MINS,North Indian,₹199 FOR TWO,BHARTI CATERER
adityapur,37 MINS,North Indian,₹199 FOR TWO,BHARTI FOOD
abohar,-- MINS,North Indian,₹200 FOR TWO,Bagri Foods
abohar,-- MINS,"Fast Food, Beverages",₹100 FOR TWO,Sonu Juice Bhandhar
abohar,-- MINS,Snacks,₹100 FOR TWO,Jodhpuri Kachori
ahmedabad,-- MINS,"Afghani, Barbecue, Chinese",₹300 FOR TWO,THE KB FISH AND CHICKEN
ahmedabad,-- MINS,"Street Food, Snacks",₹200 FOR TWO,Gajanand Pauva House
ahmednagar,-- MINS,Maharashtrian,₹100 FOR TWO,Hotel Mauli Misal
agartala,26 MINS,"North Indian, Chinese",₹300 FOR TWO,Daya Hari Chatpata
agra,49 MINS,"Chinese, North Indian",₹200 FOR TWO,Bhadawar Hotel
agra,36 MINS,"Chinese, North Indian",₹150 FOR TWO,Indo Chinese Restaurant
agra,36 MINS,"Chinese, North Indian",₹300 FOR TWO,Jai Hind Restaurant
akot,-- MINS,"Fast Food, Pizzas, Snacks",₹250 FOR TWO,Raj Cakes & Fast Food Corner
abohar,-- MINS,Ice Cream,₹100 FOR TWO,Middha Lotus iceCream
abohar,-- MINS,"North Indian, Chinese",₹200 FOR TWO,wah ji waah veg and non veg corner
abohar,-- MINS,"Italian, Continental",₹150 FOR TWO,Tera 22 Cafe
ahmednagar,-- MINS,"Mughlai, Seafood",₹500 FOR TWO,Hotel Nandanvan
ahmednagar,-- MINS,"Indian, Seafood, Chinese",₹500 FOR TWO,Hotel Suvarnam Aradhya
ahmednagar,-- MINS,"Fast Food, Italian, Indian",₹200 FOR TWO,Delicious Pizza & Sandwich
ahmednagar,-- MINS,"Maharashtrian, Chinese",₹150 FOR TWO,Lokseva Pure Veg
agartala,31 MINS,Indian,₹175 FOR TWO,Abar Khabo
agartala,28 MINS,"North Indian, Chinese",₹175 FOR TWO,Devi Fast Food
agartala,27 MINS,"Indian, Chinese, Continental, Snacks",₹200 FOR TWO,TryMe
agra,36 MINS,"Fast Food, North Indian, Snacks",₹150 FOR TWO,Ande Ka Funda
agra,32 MINS,"Desserts, Ice Cream",₹200 FOR TWO,The Brooklyn Creamery - Low Cal Ice cream
agra,39 MINS,North Indian,₹200 FOR TWO,Guru Kripa Yadav Dhaba
ajmer,-- MINS,"Chinese, Fast Food",₹150 FOR TWO,Funduz
akot,-- MINS,"Fast Food, Italian",₹200 FOR TWO,Spy Coffee Cafe (Beyond Temptition)
abohar,-- MINS,Fast Food,₹150 FOR TWO,Fresh Food Cafe
ahmednagar,-- MINS,"Desserts, Fast Food",₹200 FOR TWO,Royal Ice Cream and fast food Restaurant
ahmednagar,-- MINS,"Chinese, Biryani, Mughlai, Maharashtrian",₹300 FOR TWO,Hotel Pingara
aligarh,30 MINS,Pizzas,₹400 FOR TWO,Domino's Pizza
agartala,30 MINS,"Indian, Chinese, Sweets",₹175 FOR TWO,Daya Hari Mithai
agartala,32 MINS,"North Indian, Chinese, Tandoor",₹250 FOR TWO,Hungrilla
agartala,29 MINS,Indian,₹200 FOR TWO,Trinayani
agra,41 MINS,"Chinese, South Indian, North Indian",₹400 FOR TWO,Aahar
ajmer,-- MINS,"North Indian, Fast Food",₹200 FOR TWO,Pizzeria By Mango Masala
ajmer,-- MINS,Beverages,₹100 FOR TWO,Chai Ho Jai
ajmer,-- MINS,"Chinese, South Indian, American, Fast Food",₹200 FOR TWO,Love Cafeteria
ahmednagar,-- MINS,Sweets,₹200 FOR TWO,Batra Food Products
ahmednagar,-- MINS,"Rajasthani, Gujarati",₹250 FOR TWO,Chhappan Bhog
ahmednagar,-- MINS,Fast Food,₹150 FOR TWO,Hotel Trupti
alappuzha,-- MINS,"South Indian, Chinese",₹300 FOR TWO,AJ Park Restaurant
akola,-- MINS,"Biryani, Chinese, Continental, Fast Food, Indian",₹300 FOR TWO,Hotel Venus International
aligarh,32 MINS,Fast Food,₹150 FOR TWO,Jassi's Breads & Bytes
aligarh,33 MINS,"Chinese, Bakery, Indian",₹400 FOR TWO,New milkbar bakery
aligarh,34 MINS,"Snacks, Sweets",₹150 FOR TWO,Brijwasi Lassi and Milk Badam
aligarh,34 MINS,"Pizzas, Snacks",₹350 FOR TWO,Pizza Hut
agartala,30 MINS,Indian,₹125 FOR TWO,Mrs. Banyan Resturant
agartala,34 MINS,North Indian,₹250 FOR TWO,Frespresso
agartala,36 MINS,Indian,₹150 FOR TWO,The Green Signal
alwar,-- MINS,North Indian,₹150 FOR TWO,Jai Durga Pavitra Bhojnalaya
ajmer,-- MINS,"North Indian, Desserts",₹200 FOR TWO,Shree Jodhpur Sweets
ajmer,-- MINS,North Indian,₹250 FOR TWO,Mahadev ka Dhaba
ajmer,-- MINS,Indian,₹200 FOR TWO,Ridhi Exprees Foodies
ahmednagar,-- MINS,"Biryani, Maharashtrian",₹300 FOR TWO,Only Chicken House
ahmednagar,-- MINS,Biryani,₹200 FOR TWO,Mohsins Hyderabadi Dum Biryani House
ahmednagar,-- MINS,Fast Food,₹150 FOR TWO,Royal Ice cream and fast food
alappuzha,-- MINS,South Indian,₹150 FOR TWO,Pillechans Hotel
alappuzha,-- MINS,South Indian,₹200 FOR TWO,SARITHA'S RECIPES
alappuzha,-- MINS,"South Indian, Chinese, Arabian",₹200 FOR TWO,New Rahmath Restaurant
akola,-- MINS,"Sweets, Snacks",₹200 FOR TWO,GUJRATI UPHAR
akola,-- MINS,Indian,₹300 FOR TWO,Anand Restaurant
akola,-- MINS,"Continental, Fast Food",₹200 FOR TWO,SURVES CUISINE
aligarh,36 MINS,"Snacks, Sweets",₹200 FOR TWO,Brijwasi Misthan Bhandar
aligarh,36 MINS,"Mughlai, North Indian",₹400 FOR TWO,Nazeer Foods
aligarh,37 MINS,"American, Fast Food",₹250 FOR TWO,Burgers n Wings
agartala,30 MINS,North Indian,₹275 FOR TWO,Brewbakes Cafe Bistro
agartala,29 MINS,North Indian,₹150 FOR TWO,Barbie Food Stall
agartala,34 MINS,Indian,₹375 FOR TWO,Rupar Tori Hotel & Restaurant
agartala,32 MINS,Continental,₹275 FOR TWO,Pizza'ria
alwar,-- MINS,Fast Food,₹100 FOR TWO,SP Selection Point
alwar,-- MINS,"Chinese, South Indian, Desserts",₹150 FOR TWO,Praveen Sai Bakers & Fast Food
alwar,-- MINS,Continental,₹150 FOR TWO,Seth Sanwariya Takeaway & Restaurant
ajmer,-- MINS,"Chinese, Fast Food, North Indian",₹200 FOR TWO,FunChaatz
ajmer,-- MINS,"Mughlai, North Indian, Snacks, Pizzas",₹500 FOR TWO,hotel atlantica
ajmer,-- MINS,"Beverages, North Indian",₹150 FOR TWO,Fit n Fresh
ahmednagar,-- MINS,"Fast Food, Mughlai",₹300 FOR TWO,Hotel Paradise
ahmednagar,-- MINS,Chinese,₹200 FOR TWO,Love Chinese
alappuzha,-- MINS,"South Indian, North Indian, Chinese, Arabian",₹300 FOR TWO,Aramana Restaurant
alappuzha,-- MINS,South Indian,₹200 FOR TWO,Hotel Aryaas
akola,-- MINS,Fast Food,₹200 FOR TWO,vaibhav sweets
akola,-- MINS,"Beverages, Chinese, Fast Food, Ice Cream, Juices, Maharashtrian, North Indian",₹300 FOR TWO,Friends restaurant
akola,-- MINS,Indian,₹200 FOR TWO,SHREE KITCHEN
akola,-- MINS,"Indian, Ice Cream",₹0 FOR TWO,Dinshaw's Magic
aligarh,37 MINS,"Fast Food, Pizzas",₹200 FOR TWO,RTS Cafe
aligarh,37 MINS,"Chinese, North Indian, Sweets",₹250 FOR TWO,Deepak Restaurant and Sweets
aligarh,37 MINS,Pizzas,₹250 FOR TWO,Pie Pizza
agartala,34 MINS,"Chinese, North Indian, Tandoor",₹200 FOR TWO,Momo Magic Cafe
agartala,29 MINS,"Chinese, Indian",₹200 FOR TWO,Smoke N Spice
alwar,-- MINS,Fast Food,₹100 FOR TWO,Maggi point
alwar,-- MINS,"South Indian, North Indian, Continental",₹250 FOR TWO,Pearl Restaurant & Banquet Hall
ajmer,-- MINS,"Chinese, Fast Food, North Indian",₹200 FOR TWO,Fries  overloaded
ajmer,-- MINS,Desserts,₹200 FOR TWO,Kesar Sweets
ajmer,-- MINS,North Indian,₹250 FOR TWO,Old Mahadev Dhaba
alappuzha,-- MINS,South Indian,₹250 FOR TWO,Madras Veg Tables
alappuzha,-- MINS,"Cafe, South Indian, Arabian",₹300 FOR TWO,Cafe - The Pepper Lounge
alappuzha,-- MINS,South Indian,₹250 FOR TWO,Brothers Restaurant
akola,-- MINS,Desserts,₹300 FOR TWO,Cake House
akola,-- MINS,"Indian, Jain",₹250 FOR TWO,Jain Bhojanalya
akola,-- MINS,"Cafe, Indian",₹200 FOR TWO,CHHAYA CAFE
allahabad,29 MINS,"Desserts, Ice Cream",₹300 FOR TWO,Kwality Walls Frozen Dessert & Ice Cream Shop
aligarh,38 MINS,Indian,₹200 FOR TWO,Curry Handi (Flavours Food cafe)
aligarh,38 MINS,"Tandoor, Mughlai",₹250 FOR TWO,Golden Restaurant
alwar,-- MINS,Fast Food,₹100 FOR TWO,Patties King ( A UNIT OF SELECTION POINT)
alwar,-- MINS,North Indian,₹100 FOR TWO,New Hindustani Pavitra bhojanalya
alwar,-- MINS,Fast Food,₹100 FOR TWO,S.P Food Plaza ( A UNIT OF SELECTION POINT)
ajmer,-- MINS,Sweets,₹150 FOR TWO,Jodha Sweets and Namkeen
ajmer,-- MINS,"Chinese, Fast Food",₹150 FOR TWO,Wong Momo
alappuzha,-- MINS,"South Indian, Chinese, Fast Food, Beverages, Bakery",₹200 FOR TWO,Dosa Hut
alappuzha,-- MINS,"Kerala, Chinese",₹200 FOR TWO,Chillies Restaurant
alappuzha,-- MINS,"South Indian, Arabian, Biryani, Chinese",₹200 FOR TWO,Karthika Hotel
alappuzha,-- MINS,Bakery,₹600 FOR TWO,Pastry Chef
akola,-- MINS,"South Indian, North Indian, Chinese, Beverages",₹200 FOR TWO,Gupta Ji Restaurant
akola,-- MINS,"Desserts, Snacks, Sweets",₹100 FOR TWO,Nirmal Sweet Mart
akola,-- MINS,"South Indian, Chinese",₹300 FOR TWO,Vaibhav Foods
allahabad,25 MINS,"Indian, Chinese",₹250 FOR TWO,Gay Time Family Restaurant
allahabad,33 MINS,"Fast Food, Pizzas",₹350 FOR TWO,Pizza Hut
allahabad,55 MINS,"South Indian, Chinese, Desserts",₹300 FOR TWO,d'masiko cafe restro
aligarh,38 MINS,"Mughlai, North Indian",₹250 FOR TWO,Golden Restaurant (CITY Masoodabad)
aligarh,39 MINS,"American, Continental, North Indian, Beverages",₹160 FOR TWO,Munch Box
aligarh,39 MINS,"Chinese, North Indian, Fast Food",₹200 FOR TWO,Deepak Fast Food
alwar,-- MINS,"North Indian, Fast Food",₹100 FOR TWO,Thali Waala (A Unit Of Raj Tadka)
alwar,-- MINS,"North Indian, Desserts",₹100 FOR TWO,Shivam Dhaba
alwar,-- MINS,"Beverages, Chinese, Desserts, Fast Food, Juices",₹150 FOR TWO,Tija 
akola,-- MINS,"Biryani, North Indian, Indian",₹200 FOR TWO,Anand Bhartiya Thali
allahabad,31 MINS,"Indian, Chinese",₹400 FOR TWO,Pind Balluchi
allahabad,33 MINS,North Indian,₹250 FOR TWO,Jai Shree Shankar Bhojanalaya
allahabad,61 MINS,Pizzas,₹200 FOR TWO,Pizza palette
alwar,-- MINS,"North Indian, Punjabi, Chinese, Fast Food",₹200 FOR TWO,The Silver Spoon Restro
alwar,-- MINS,"North Indian, Fast Food",₹200 FOR TWO,Ashoka Hotel
allahabad,35 MINS,"American, Fast Food, Beverages, Snacks, Desserts",₹150 FOR TWO,Burger Bistro
allahabad,37 MINS,"North Indian, South Indian",₹400 FOR TWO,Aryan Family's Delight
ambala,30 MINS,"Healthy Food, Greek, Continental, Salads, Desserts",₹300 FOR TWO,Greek House
allahabad,42 MINS,"Indian, Chinese, Tandoor, Fast Food",₹300 FOR TWO,Vintage Hut
allahabad,40 MINS,"North Indian, Chinese",₹300 FOR TWO,Kailash Parbat
allahabad,30 MINS,"Biryani, Indian",₹250 FOR TWO,Biryani Hills
allahabad,35 MINS,"American, Fast Food, Snacks",₹450 FOR TWO,KFC
ambala,25 MINS,"Pizzas, Italian, Fast Food, Beverages, Snacks, Pastas, Cafe, Desserts",₹250 FOR TWO,A Emporter
ambala,39 MINS,North Indian,₹150 FOR TWO,Annapurna Canteen
ambala,30 MINS,"North Indian, Chinese, Punjabi, Thalis, Tandoor",₹200 FOR TWO,Pindi Soya
allahabad,36 MINS,"Indian, North Indian",₹250 FOR TWO,Jai Shree Shankar Punjabi Dhaba
allahabad,31 MINS,"Indian, Chinese, Continental, Beverages",₹250 FOR TWO,BIG BOX CAFE
allahabad,30 MINS,"Snacks, Continental, Ice Cream, Fast Food",₹200 FOR TWO,MICHAEL'S ICECREAM BURGER
amalner,-- MINS,"North Indian, Maharashtrian, Chinese",₹200 FOR TWO,Hotel Guru veg
ambala,27 MINS,"North Indian, Snacks, Biryani",₹300 FOR TWO,Chawla Chicken
ambala,38 MINS,"Chinese, Fast Food, Combo, Tandoor",₹100 FOR TWO,Rajan Soya Chaap
ambala,30 MINS,"Fast Food, Chinese, Pastas, Beverages",₹200 FOR TWO,Burger Shurger
ambala,27 MINS,Fast Food,₹400 FOR TWO,McDonald's
ambala,28 MINS,"Pizzas, Italian",₹300 FOR TWO,La Pino'z Pizza
ambala,44 MINS,"North Indian, Chinese, Sweets, Beverages, Indian, Punjabi, Thalis",₹250 FOR TWO,P Bhagat Tarachand
ambikapur,-- MINS,"North Indian, Chinese, Beverages, Fast Food, Desserts",₹200 FOR TWO,Rajesh Sweets
ambur,-- MINS,"Indian, South Indian",₹150 FOR TWO,Sarathy Hotel (Kaspa A)
ambala,28 MINS,"North Indian, Chinese, Salads, Healthy Food, Biryani, Thalis, Combo, Chaat",₹200 FOR TWO,Malik Regency
ambala,44 MINS,"North Indian, Fast Food, Chinese",₹250 FOR TWO,Rajan Indian Bites
ambala,43 MINS,Chinese,₹150 FOR TWO,Chinese Tonic
ambikapur,-- MINS,"North Indian, South Indian, Chinese",₹250 FOR TWO,Cafe Chilli Flakes
ambikapur,-- MINS,Bakery,₹150 FOR TWO,Bitee Me
ambikapur,-- MINS,"North Indian, Chinese, Beverages",₹200 FOR TWO,Hotel Kartik
ambikapur,-- MINS,"Beverages, Chinese, Fast Food, Mughlai, North Indian",₹250 FOR TWO,Smokey Brew
ambur,-- MINS,"Desserts, Beverages",₹150 FOR TWO,Muneer Sweets
ambur,-- MINS,"Sweets, Snacks, Bakery",₹200 FOR TWO,chennai hot puff
ambur,-- MINS,South Indian,₹250 FOR TWO,Sri Sarathy Bhavan
ambur,-- MINS,"Home Food, South Indian",₹200 FOR TWO,HOMELY RESTAURANT
ambur,-- MINS,South Indian,₹200 FOR TWO,STAR HOME
ambala,33 MINS,"North Indian, Chinese",₹100 FOR TWO,Ambala Rasoi
ambala,27 MINS,"North Indian, Beverages, Chinese",₹300 FOR TWO,A.P Residency
ambala,30 MINS,"Pizzas, Chinese, Italian, Snacks, Combo, Salads, Pastas",₹150 FOR TWO,Pizziano
ambikapur,-- MINS,"Beverages, Chinese, Mughlai",₹200 FOR TWO,Biryani's Hub
ambikapur,-- MINS,"North Indian, Chinese, Beverages",₹250 FOR TWO,Hotel The Hills
ambur,-- MINS,"Fast Food, South Indian, Beverages",₹200 FOR TWO,Le Cafe
ambur,-- MINS,"Desserts, Beverages",₹150 FOR TWO,Muneer Sweets
ambur,-- MINS,South Indian,₹200 FOR TWO,Hotel Amirdam
ambur,-- MINS,"Biryani, Indian, Chinese",₹300 FOR TWO,STAR BRIYANI SINCE 1890
ambikapur,-- MINS,"North Indian, Chinese, Beverages",₹200 FOR TWO,Maya Rasoi
ambikapur,-- MINS,"North Indian, Chinese, Beverages, Fast Food, Desserts",₹200 FOR TWO,Green Chilli
ambikapur,-- MINS,"North Indian, Chinese, Beverages, Fast Food, Desserts",₹200 FOR TWO,Welcome Hotel
ambikapur,-- MINS,North Indian,₹200 FOR TWO,Bittu Biryani Centre
ambur,-- MINS,"Arabian, Chinese, Fast Food",₹250 FOR TWO,AMBUR KITCHEN
ambur,-- MINS,"Biryani, Arabian, Chinese",₹200 FOR TWO,Rahamaniya Briyani Hotel (M.C.Road Branch 2)
ambur,-- MINS,"Indian, North Indian, Chinese, Arabian, Grill",₹300 FOR TWO,Zaitoon restaurant
ambur,-- MINS,"Beverages, Desserts",₹150 FOR TWO,Lassi shop
anand,-- MINS,Indian,₹240 FOR TWO,Shree Mahakali Restaurant
ambikapur,-- MINS,"North Indian, Chinese, Beverages, Ice Cream",₹200 FOR TWO,Snow Junkie
ambikapur,-- MINS,"North Indian, Chinese, Fast Food",₹150 FOR TWO,Dawat Restaurant
anand,-- MINS,"Cafe, Fast Food",₹250 FOR TWO,Garam Kittli
anand,-- MINS,South Indian,₹220 FOR TWO,South Leaf
anand,-- MINS,Snacks,₹150 FOR TWO,Food Mohalla
ambikapur,-- MINS,"North Indian, South Indian, Chinese",₹200 FOR TWO,Soni Food Series
anand,-- MINS,"Fast Food, Pizzas, Snacks",₹150 FOR TWO,Midtown Munchies
anand,-- MINS,"Fast Food, Snacks, Mexican",₹250 FOR TWO,OncMor
anand,-- MINS,"Fast Food, Beverages",₹150 FOR TWO,Yo Frankie
anand,-- MINS,Desserts,₹200 FOR TWO,The New Taste Bakery
anand,-- MINS,"Fast Food, Snacks",₹100 FOR TWO,Shree Hari Dalvada Center
anand,-- MINS,Fast Food,₹200 FOR TWO,Kapildev Fast food 
anand,-- MINS,"Fast Food, Snacks",₹180 FOR TWO,One N Only Food Junction
anand,-- MINS,"Beverages, Fast Food, Pizzas",₹150 FOR TWO,Chai Wai
anand,-- MINS,"Fast Food, Beverages",₹150 FOR TWO,Petpuja
amreli,-- MINS,"Pizzas, Fast Food, Italian, Snacks",₹100 FOR TWO,Mewad Food Zone
amreli,-- MINS,"Gujarati, Thalis",₹250 FOR TWO,Ganesh Dining Hall
amreli,-- MINS,"Chinese, North Indian, Fast Food",₹200 FOR TWO,China Town
amreli,-- MINS,"Mughlai, Seafood",₹200 FOR TWO,Hotel Mono & Surti Omellete
amreli,-- MINS,"Indian, Fast Food",₹250 FOR TWO,Hotel Ruhani
amroha,-- MINS,"Beverages, Desserts",₹300 FOR TWO,Bhagwati sweets
amreli,-- MINS,"Chinese, North Indian, Punjabi",₹200 FOR TWO,Surya Garden Restaurant
amreli,-- MINS,"North Indian, Punjabi, Fast Food, Thalis",₹150 FOR TWO,Akshar Restaurant
amreli,-- MINS,"Desserts, Fast Food",₹100 FOR TWO,Amal Bakery
amreli,-- MINS,Fast Food,₹100 FOR TWO,Bajarang Sandwich
amroha,-- MINS,Indian,₹200 FOR TWO,Web Pizza
amroha,-- MINS,North Indian,₹200 FOR TWO,Shivani Sweets and Hotel
amroha,-- MINS,"North Indian, South Indian, Beverages, Desserts",₹500 FOR TWO,Chaudhary Fauji Restaurant
amroha,-- MINS,"North Indian, South Indian",₹300 FOR TWO,Bhagwati Bhojnalya
amroha,-- MINS,"Beverages, Desserts",₹300 FOR TWO,Pizza House
amreli,-- MINS,"Chinese, South Indian, Desserts, Fast Food, Italian",₹100 FOR TWO,Food Plaza
amreli,-- MINS,Fast Food,₹80 FOR TWO,Sadguru Sandwich
amreli,-- MINS,"Beverages, Desserts, Pizzas",₹200 FOR TWO,Tawa Tadka The Cafe
amroha,-- MINS,Indian,₹150 FOR TWO,The Lazeez Chicken Point
amroha,-- MINS,"Beverages, Desserts",₹300 FOR TWO,Pizza Theater
amravati,-- MINS,"North Indian, Snacks",₹300 FOR TWO,Guptaji Gilawada Center and Restaurant
amravati,-- MINS,"North Indian, Chinese",₹300 FOR TWO,Rutu Fast Food & Restaurant
amravati,-- MINS,"Cafe, Chinese",₹100 FOR TWO,NATURES CAFE AND FOOD
amravati,-- MINS,"North Indian, Indian, Chinese, Continental",₹300 FOR TWO,Hotel Adarsh Desi Vilayti Restaurant
amravati,-- MINS,"Desserts, Indian, Maharashtrian",₹150 FOR TWO,Varhadi Kitchen
amravati,-- MINS,"North Indian, Chinese",₹300 FOR TWO,Bakers Magic
amravati,-- MINS,"North Indian, Chinese",₹300 FOR TWO,Hotel RK Emperial
amritsar,-- MINS,Italian,₹250 FOR TWO,Donald Hut
ankleshwar,-- MINS,"Desserts, Beverages",₹200 FOR TWO,The Belgian Waffle Co.
anantapur,-- MINS,"Street Food, South Indian, Snacks",₹100 FOR TWO,HOTEL RAMANA
amravati,-- MINS,"North Indian, Chinese, Pizzas, Fast Food, Indian",₹150 FOR TWO,Pizza Paradise
amravati,-- MINS,"North Indian, Chinese",₹150 FOR TWO,RESTRO NIVALA
amravati,-- MINS,"North Indian, Chinese",₹300 FOR TWO,Jamna's Sandwich And Coffee Shop
