jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Forklift Operator 1st and 2nd shift,Eaton Technologies Private Limited,US,1-2years,Not Specified,"If your passion is working in a dynamic, fast-paced manufacturing environment then joining our team is the right job for you. Daily you will be expected to safely and successfully move finished product from the production line to its proper warehouse",Forklift|manufacturingShareJobLinkonSocialMedia|
Assembler - 3rd Shift,Eaton Technologies Private Limited,India|US,1-4years,Not Specified,"Hiring Immediately with $1500 Sign On Bonus! Eaton’s Hydraulics Division is currently seeking Assembly Workers to join their team! This position is based at our Eden Prairie, MN manufacturing facility on 3rd shift.Assembly Workers work together with",
Assembler & Tester - 1st Shift,Eaton Technologies Private Limited,India|US,2-5years,Not Specified,"Eaton’s Aerospace division is seeking an Assembler and Tester-B, 2nd shift to join our team. The position is based at our Los Angeles, CA (near Glendale metro) facility. The LA facility has approximately 250 employees and is a leader in the design, d",
Production Supervisor (1st Shift),Eaton Technologies Private Limited,India|US,1-4years,Not Specified,"Eaton’s Electrical Division is seeking a 1st shift Production Supervisor for the Low Voltage Busway facility in Hodges, SC.Position Overview:Supervise the personnel and production activities of one of the following major manufacturing functions: a",
Assembler - 1st Shift (9395),Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"To Eaton’s Electrical Operations division is currently seeking an Assembler I to join our first shift team. This position is based at our Raleigh, NC facility.Position Overview:The Assembler I will build sub-assemblies and assemblies involving comp",
Assembler II - 2nd Shift,Eaton Technologies Private Limited,India|US,2-5years,Not Specified,"Eaton’s Aerospace Group is currently seeking an Assembler II in Irvine, CA.The Fuel and Motion Control Systems Division of Eaton’s Aerospace Group, has an opening for an Assembler II based in Irvine, CA.  * Assemble parts or units, and position, a",
3rd Shift Material Handler,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s vehicle group is looking for a Material Handler to join our team. This position is based at our Kearney, Nebraska facility and is located on 3rd shift. $2000 sign on Bonus!This is a direct, full-time position that offers full benefits the da",
Machine Operator - 3rd Shift,Eaton Technologies Private Limited,India|US,1-4years,Not Specified,"Eaton's Electrical Division is seeking a full-time Machine Operator-I to work 3rd shift. This position is located at our Troy, IL facility.Making what matters work at Eaton takes the passion of every employee around the world. We create an environme",
Operator I -2nd shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Sector is currently seeking a 2nd Shift Operator I to join our team.This position is based at our Cleveland, TN facility.Making what matters work at Eaton takes the passion of every employee around the world. We create an environ",
Assembler - 1st Shift (93PM),Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Power Quality Division is currently seeking an Assembler I to join our team in Raleigh, North Carolina.The Assembler I will build sub-assemblies and assemblies involving complex and repetitive wiring for Uninterruptible Power Systems (UPS).",
Ovens Operator - 2nd Shift,Eaton Technologies Private Limited,India|US,NotSpecified,Not Specified,"Eaton’s Electrical Power Systems division is currently seeking an Ovens Operator – 2nd Shift to join our team, pay starting at $17.55/hour. This position is based at our North Street Facility in Waukesha, WI.The Ovens Operator will place coils in me",
