jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Sales Executives,Hudson Agile Ventures Private Limited,Mysore,0-2years,110000 - 250000 INR,Interact with prospect leads and build a pipeline along with building strong relationships with prospects. |    Own the experience we give every prospective customer from the first time they interact with us. |    Be responsible for achieving sales targe,anydegree/postgraduate|
Marketing Executive,Hudson Agile Ventures Private Limited,Mysore,0-2years,150000 - 430000 INR,Job Description:  |   Interact with prospect leads and build a pipeline along with building strong relationships with prospects. |   Own the experience we give every prospective customer from the first time they interact with us. |   Be responsible for ac,Graduate/Postgraduate.Timings:9-6Preferable:MaleCandidates|
Software Developer Trainee  software engineers,Hudson Agile Ventures Private Limited,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
HR Recruiter,Hudson Agile Ventures Private Limited,Mysore,0-2years,150000 - 250000 INR,"Job Description: |  •	Handling end-to-end recruitment. |  •	Sourcing and screening profiles as per requirement |  •	Screening the Candidate based upon the Educational qualification, |  Technical skills, Communication skill and experience |  •	Sourcing the Candidate",ExcellentCommunicationinEnglishisamust.Designation:HRRecruiterEducationalQualification:Graduate/MBA/Experience:0-2yearsexperienceOnlyImeediateJoinerscanApply|
Software Trainee,Hudson Agile Ventures Private Limited,Mysore,1-2years,110000 - 120000 INR,Gook Knowledge in software Training Programmers,softwaretainee|
Php developer,Hudson Agile Ventures Private Limited,Mysore,0-1years,110000 - 120000 INR,Understanding of MVC design patterns and frameworks  |  Front -end development including jQuery,someknowledgeLinuxcommandline|
HR Recruiter,Hudson Agile Ventures Private Limited,Mysore,0-2years,110000 - 120000 INR,Handling end to end recruitment  |  Sourcing and Screening profile asper requirement  |  Technical Skill,GoodCommunicationSkill|
Sales Executive,Hudson Agile Ventures Private Limited,Chennai,0-2years,150000 - 300000 INR,*B2B  Tele-calling to US clients  |  *Generating Prospects and business conversion,Businessdevelopment|Selling|Sales|SalesExecutive|
software developer traniee,Hudson Agile Ventures Private Limited,Chennai,0-2years,150000 - 290000 INR,".About US |   |  Hudson Agile Ventures Private Limited  |   |  We are a Software technology Outsourcing consulting company formed in |  2looking for software developer trainee fresher for php, dotnet, java, ios, android developer for a USA based company in chennai.",DotnetDeveloper|androiddeveloper|iosdeveloper|UIDeveloper|SoftwareDeveloper|Softwareprogrammer|SoftwareEngineer|Programmer|Phpdeveloper|DotNet|
Receptionist,Hudson Agile Ventures Private Limited,Vellore,0-1years,Not Specified,We are hiring for receptionist position at Hudson Agile Ventures Pvt Ltd,FrontDesk|Reception|Receptionist|
Engineer (Mobile),Agile English India Private Limited,Chennai,3-5years,Not Specified,Design and Develop Hybrid mobile application using Angular – Ionic framework |  Develop intuitive and engaging mobile learning user interfaces. |  Integrate the mobile application with backend using GraphQL,Angular|IonicFramework|Cordova|Typescript|MobileDevelopment|
HR Recruiter Sourcing Executive Trainers PHP Python Android,Hudson Agile Ventures Private Limited,Chennai,0-2years,Not Specified,"Multiple Positions To Apply  |   Walk Ins - Immediate Requirements  |   HR  |   Sourcing Specialist |   Trainers - PHP, Android, Python, UI/UX, Digital Marketing",HrRecruiter|SourcingExecutive|PHPTrainer|AndroidTrainer|PythonTrainer|
Scrum Master,Agile English India Private Limited,Chennai,4-7years,Not Specified,"We are looking for Smart Scrum Master, who does conversation by focusing on scrum values of openness, honesty and respect. Person Should be a good coach in Agile practices and can coach individuals and interactions over processes and tools.",Kanban|Scrum|ScrumMaster|Agile|SoftwareDevelopment|
BI Developer,Agile English India Private Limited,Chennai,3-8years,Not Specified,"In this role, you will work on creating decision making reports and dashboard widely used by our clients and our operation team. You will be responsible for transferring data into value, ensuring business value and data driven promotions. If you are",businessIntelligence|Powerbi|
IT Engineer,Agile English India Private Limited,Chennai,2-5years,Not Specified,Detail-oriented and experienced IT Engineer.,ActiveDirectory|Office365|Azure|Windows|MacOs|
Product Support Engineer,Agile English India Private Limited,Chennai,1-5years,Not Specified,1 - 4 years of related professional experience in Quality Assurance and product support.,ProductSupport|Sql|Api|ApplicationSupport|Testing|
Tech Lead - Devops,Agile English India Private Limited,Chennai,5-10years,Not Specified,"We are looking for an experienced DevOps (Development and Operations) engineer to join our organization. In this position, you will manage infrastructure projects and processes.",Devops|Ansible|Jenkins|Docker|Terraform|Kubernetes|
Business Analyst,Agile English India Private Limited,Chennai,4-8years,Not Specified,"We are looking for an experienced Business Analyst to join our organization. In this position, |  you will work with business users and capture business requirements accurately. Should be able |  to manage requirements from inception to implementation.",businessanalyst|DataAnalyst|Powerbi|Sql|SQLserver|
QA Engineer,Agile English India Private Limited,Chennai,2-7years,Not Specified,Detail-oriented and experienced Automation Test Engineer.,Agile/Scrumdevelopment|QaEngineer|Java|Javascript|AutomatedTesting|Selenium|
Python Developer,Agile English India Private Limited,Chennai,3-5years,Not Specified,"We are looking for a smart and dynamic Software Engineers with experience in Django and flask |  framework Good understanding of server-side templating languages like jinja Understanding of |  front-end technologies, such as JavaScript, HTML5, and CSS3.",graphqlAmazonWebService|python|DJANGO|Flask|Reactjs|aws|
Digital Marketing /Search Engine Optimization,Hudson Agile Ventures Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,"Execute tests, collect and analyze data and results, identify trends and insights in order to achieve maximum ROI in paid search campaigns |  Track, report, and analyze website analytics and PPC initiatives and campaigns |  Manage campaign expenses.",SearchEngine|SearchEngineMarketing|Sem|PayPerClick|OnlineMarketing|SEOMarketing|Ppc|SocialMediaOptimization|InternetMarketing|DigitalMarketing|ViralMarketing|SEO|SearchEngineOptimization|Smo|
HR Manager/HR lead/HR Recruiter,Agile English India Private Limited,Bengaluru/Bangalore,1-6years,110000 - 330000 INR,Partnering with hiring managers to determine staffing needs |  Screening resumes |  Performing in-person and phone interviews with candidates |  Administering appropriate company assessments |  Performing reference and background checks |  Making recommendations to,HrExecutive|Hr|HrAssistant|HrOperations|HrRecruitments|HrResourceManagement|HrGeneralist|HumanResourceOperations|Hro|HROPS|RecruitmentOperations|EmployeeEngagement|HRSharedServices|HrManager|HrConsultant|Hr|
Full Stack Engineer,Agile English India Private Limited,Chennai,3-5years,Not Specified,"We are looking for a smart and dynamic Software Engineers with experience in developing web |     application using Node, React stack, to join our team in Chennai, India. You should be wellversed in the design, planning, and execution of projects.",FullStackDeveloper|restfulapi|Reactjs|Nodejs|AWS|AmazonWebService|Graphql|
Python Developer,Hudson Agile Ventures Private Limited,Chennai,3-5years,Not Specified,"We are looking for a smart and dynamic Software Engineers with experience in Django and flask |      framework Good understanding of server-side templating languages like jinja Understanding of |      front-end technologies, such as JavaScript, HTML5, and CSS3.",PythonDjango|Flask|Javascript|AWS|Oops|ObjectOrientedProgramming|Networking|RESTful|Graphql|Reactjs|
jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Sales Executives,Hudson Agile Ventures Private Limited,Mysore,0-2years,110000 - 250000 INR,Interact with prospect leads and build a pipeline along with building strong relationships with prospects. |    Own the experience we give every prospective customer from the first time they interact with us. |    Be responsible for achieving sales targe,anydegree/postgraduate|
Marketing Executive,Hudson Agile Ventures Private Limited,Mysore,0-2years,150000 - 430000 INR,Job Description:  |   Interact with prospect leads and build a pipeline along with building strong relationships with prospects. |   Own the experience we give every prospective customer from the first time they interact with us. |   Be responsible for ac,Graduate/Postgraduate.Timings:9-6Preferable:MaleCandidates|
Software Developer Trainee  software engineers,Hudson Agile Ventures Private Limited,Mysore,0-1years,150000 - 400000 INR,"Software Engineers – Fresher’s - Trainee Engineers ––BA,.net, php, Java, Ios, Android,BDE |  Education: BE, B.Tech, MCA, M.Tech, ME, MCA, Msc. IT, BSC, BCA, MBA or Any degree  |   |  Software Engineer Job Purpose: Develops information systems by designing, pr",AnalyzingInformation|GeneralProgrammingSkills|SoftwareDebugging|ProblemSolving|Teamwork|SoftwareDevelopmentFundamentals|SoftwareDesign|SoftwareDocumentation|SoftwareTesting|softwaredevelopmentprocess|SoftwareRequirements|
HR Recruiter,Hudson Agile Ventures Private Limited,Mysore,0-2years,150000 - 250000 INR,"Job Description: |  •	Handling end-to-end recruitment. |  •	Sourcing and screening profiles as per requirement |  •	Screening the Candidate based upon the Educational qualification, |  Technical skills, Communication skill and experience |  •	Sourcing the Candidate",ExcellentCommunicationinEnglishisamust.Designation:HRRecruiterEducationalQualification:Graduate/MBA/Experience:0-2yearsexperienceOnlyImeediateJoinerscanApply|
Software Trainee,Hudson Agile Ventures Private Limited,Mysore,1-2years,110000 - 120000 INR,Gook Knowledge in software Training Programmers,softwaretainee|
Php developer,Hudson Agile Ventures Private Limited,Mysore,0-1years,110000 - 120000 INR,Understanding of MVC design patterns and frameworks  |  Front -end development including jQuery,someknowledgeLinuxcommandline|
HR Recruiter,Hudson Agile Ventures Private Limited,Mysore,0-2years,110000 - 120000 INR,Handling end to end recruitment  |  Sourcing and Screening profile asper requirement  |  Technical Skill,GoodCommunicationSkill|
Sales Executive,Hudson Agile Ventures Private Limited,Chennai,0-2years,150000 - 300000 INR,*B2B  Tele-calling to US clients  |  *Generating Prospects and business conversion,Businessdevelopment|Selling|Sales|SalesExecutive|
software developer traniee,Hudson Agile Ventures Private Limited,Chennai,0-2years,150000 - 290000 INR,".About US |   |  Hudson Agile Ventures Private Limited  |   |  We are a Software technology Outsourcing consulting company formed in |  2looking for software developer trainee fresher for php, dotnet, java, ios, android developer for a USA based company in chennai.",DotnetDeveloper|androiddeveloper|iosdeveloper|UIDeveloper|SoftwareDeveloper|Softwareprogrammer|SoftwareEngineer|Programmer|Phpdeveloper|DotNet|
Receptionist,Hudson Agile Ventures Private Limited,Vellore,0-1years,Not Specified,We are hiring for receptionist position at Hudson Agile Ventures Pvt Ltd,FrontDesk|Reception|Receptionist|
Engineer (Mobile),Agile English India Private Limited,Chennai,3-5years,Not Specified,Design and Develop Hybrid mobile application using Angular – Ionic framework |  Develop intuitive and engaging mobile learning user interfaces. |  Integrate the mobile application with backend using GraphQL,Angular|IonicFramework|Cordova|Typescript|MobileDevelopment|
HR Recruiter Sourcing Executive Trainers PHP Python Android,Hudson Agile Ventures Private Limited,Chennai,0-2years,Not Specified,"Multiple Positions To Apply  |   Walk Ins - Immediate Requirements  |   HR  |   Sourcing Specialist |   Trainers - PHP, Android, Python, UI/UX, Digital Marketing",HrRecruiter|SourcingExecutive|PHPTrainer|AndroidTrainer|PythonTrainer|
Scrum Master,Agile English India Private Limited,Chennai,4-7years,Not Specified,"We are looking for Smart Scrum Master, who does conversation by focusing on scrum values of openness, honesty and respect. Person Should be a good coach in Agile practices and can coach individuals and interactions over processes and tools.",Kanban|Scrum|ScrumMaster|Agile|SoftwareDevelopment|
BI Developer,Agile English India Private Limited,Chennai,3-8years,Not Specified,"In this role, you will work on creating decision making reports and dashboard widely used by our clients and our operation team. You will be responsible for transferring data into value, ensuring business value and data driven promotions. If you are",businessIntelligence|Powerbi|
IT Engineer,Agile English India Private Limited,Chennai,2-5years,Not Specified,Detail-oriented and experienced IT Engineer.,ActiveDirectory|Office365|Azure|Windows|MacOs|
Product Support Engineer,Agile English India Private Limited,Chennai,1-5years,Not Specified,1 - 4 years of related professional experience in Quality Assurance and product support.,ProductSupport|Sql|Api|ApplicationSupport|Testing|
Tech Lead - Devops,Agile English India Private Limited,Chennai,5-10years,Not Specified,"We are looking for an experienced DevOps (Development and Operations) engineer to join our organization. In this position, you will manage infrastructure projects and processes.",Devops|Ansible|Jenkins|Docker|Terraform|Kubernetes|
Business Analyst,Agile English India Private Limited,Chennai,4-8years,Not Specified,"We are looking for an experienced Business Analyst to join our organization. In this position, |  you will work with business users and capture business requirements accurately. Should be able |  to manage requirements from inception to implementation.",businessanalyst|DataAnalyst|Powerbi|Sql|SQLserver|
QA Engineer,Agile English India Private Limited,Chennai,2-7years,Not Specified,Detail-oriented and experienced Automation Test Engineer.,Agile/Scrumdevelopment|QaEngineer|Java|Javascript|AutomatedTesting|Selenium|
Python Developer,Agile English India Private Limited,Chennai,3-5years,Not Specified,"We are looking for a smart and dynamic Software Engineers with experience in Django and flask |  framework Good understanding of server-side templating languages like jinja Understanding of |  front-end technologies, such as JavaScript, HTML5, and CSS3.",graphqlAmazonWebService|python|DJANGO|Flask|Reactjs|aws|
Digital Marketing /Search Engine Optimization,Hudson Agile Ventures Private Limited,Bengaluru/Bangalore,0-1years,Not Specified,"Execute tests, collect and analyze data and results, identify trends and insights in order to achieve maximum ROI in paid search campaigns |  Track, report, and analyze website analytics and PPC initiatives and campaigns |  Manage campaign expenses.",SearchEngine|SearchEngineMarketing|Sem|PayPerClick|OnlineMarketing|SEOMarketing|Ppc|SocialMediaOptimization|InternetMarketing|DigitalMarketing|ViralMarketing|SEO|SearchEngineOptimization|Smo|
HR Manager/HR lead/HR Recruiter,Agile English India Private Limited,Bengaluru/Bangalore,1-6years,110000 - 330000 INR,Partnering with hiring managers to determine staffing needs |  Screening resumes |  Performing in-person and phone interviews with candidates |  Administering appropriate company assessments |  Performing reference and background checks |  Making recommendations to,HrExecutive|Hr|HrAssistant|HrOperations|HrRecruitments|HrResourceManagement|HrGeneralist|HumanResourceOperations|Hro|HROPS|RecruitmentOperations|EmployeeEngagement|HRSharedServices|HrManager|HrConsultant|Hr|
Full Stack Engineer,Agile English India Private Limited,Chennai,3-5years,Not Specified,"We are looking for a smart and dynamic Software Engineers with experience in developing web |     application using Node, React stack, to join our team in Chennai, India. You should be wellversed in the design, planning, and execution of projects.",FullStackDeveloper|restfulapi|Reactjs|Nodejs|AWS|AmazonWebService|Graphql|
Python Developer,Hudson Agile Ventures Private Limited,Chennai,3-5years,Not Specified,"We are looking for a smart and dynamic Software Engineers with experience in Django and flask |      framework Good understanding of server-side templating languages like jinja Understanding of |      front-end technologies, such as JavaScript, HTML5, and CSS3.",PythonDjango|Flask|Javascript|AWS|Oops|ObjectOrientedProgramming|Networking|RESTful|Graphql|Reactjs|
