Talent Acquisition Manager or Recruitment Manager,AGP International Services,Mathura,2-5years,Not Specified,"sourcing of cvs for different profile and trade via naukri ,monster ,linkden portal . |      screening of Cvs line them up for interview , follow ups with candidates |      Evaluation of Cvs Screening ,Head hunting ,Short listing |     Excellent in MS office",Recruiter|Headhunting|Sourcing|
HR Recruitment Executive  HR Recruitment,International Trade Links,Chennai,3-13years,Not Specified,SOURCING & PROCESSING FOR GULF MANPOWER REQUIREMENT |   HINDI SPEAKING ABILITY MUST. |   BASIC KNOWLEDGE IN GULF VISA & STAMPING PROCESS.,HrRecruiter|HrExecutive|Recruiter|RecruitmentExecutive|
Recruitment Supervisor,Diraa HR Services,UnitedArabEmirates,3-8years,Not Specified,Recruitment Supervisor,"""RecruitmentSupervisor""|"
Urgent Recruitment for Banking Sector,Nexplace Info Private Limited,Coimbatore,0-5years,250000 - 350000 INR,"Bank tellers are responsible for handling customer financial transactions like deposits, withdrawals, transfers, money orders, and checking.A bank teller's duties also may include counting cash, answering phones, filing deposit slips.",Telecalling|Telemarketing|Telecaller|Telemarketingexecutive|Telesalesexecutive|
IT Team Leader / IT Recruitment,Nexplace Info Private Limited,Bengaluru/Bangalore,5-8years,Not Specified,Looking for IT Team Leader,HrExecutive|TeamLeader|RecruitmentExecutive|ITRecruitment|
IT  Delivery Manager / Recruitment Manager,Nexplace Info Private Limited,Bengaluru/Bangalore,8-11years,Not Specified,Looking for IT  Delivery Manager,HrManager|ItManager|RecruitmentManager|
IT Delivery Manager / Recruitment Manager,Sumedha Management Consultancy,Bengaluru/Bangalore,8-12years,Not Specified,Looking for IT Delivery Manager,HrManager|ITdeliverymanager|RecruitmentDelivery|ItManager|RecruitmentManager|
Recruitment Executive,Talent Arabia FZ LLC,Lucknow,0-2years,Not Specified,"Require a recruiter in Lucknow-UP who is competent to handle job portal, has computer skills  and good in mailing.",Recruitment|TalentAcquisition|HumanResource|Hiring|
IT Recruitment,Orcapod Consulting Services Private Limited,Delhi|Mumbai,1-4years,Not Specified,|  We are looking for a IT recruiter.. You can work from your home and anywhere in India.,ItRecruiter|ItStaffing|Recruitment|ITRecruitment|TechnicalRecruiter|TechRecruiter|
IT Recruiter  IT Recruitment,Aspire Group of Services,Mumbai|Pune,1-8years,Not Specified,Orcapod is looking for Female IT recruiters  |  Minimum 9 months to 1years Experience is must. |  Fully work from Home Timings:- 9:30-6:30PM 2nd and 4th sat off. |  Must have own Laptop/Desktop with Internet Connection.  |  Fixed Salary per month with mobile rei,ItSkills|ITRecruitment|
HR Executive ( Recruitment & Operations ),Gee Kay Infotech,Lucknow,0-1years,140000 - 229999 INR,Salary: 14000/- per month (Gross) ; Other benefits: Statutory + Leave Encashment + Yearly bonus. |   |  Job specifications / Eligibility criteria: |   |  Experience: 0 TO 01 Years |   |  Qualification: Any Graduate. |   |  Work location: ALL OVER LUCKNOW |,HrExecutive|Officer|Assistant|Backend|OperationsExecutive|
