jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Jr. Executive - HR cum Admin,ADI Shantigram Estates LLP,Ahmedabad,3-5years,270000 - 320000 INR,"To provide assistance to managers and employees with respect to HR policies and procedures including: Payroll, PF, ESCI, employee relations, recruitment, benefits and the health and safety program.",•ProficiencywithMSOfficeapplications(Excel)•Excellentcommunicationskills|bothverbalandwritten.•Demonstratedastrongcommitmenttoconfidentialityandprofessionalism.•Abilitytoworkindependentlyandmanagetimeeffectively.|
PART TIME WORK  / WORK FROM HOME / COMPUTER WORK,Zarbex Solutions,Chennai|Mumbai,0-5years,Not Specified,"we are providing work from home jobs to every individuals , basic typing skills  and laptop/computer is mandatory for this work. this platform is available for serious job seekers. without any registration fees.",WorkFromHome|TypingWork|ContentWriter|ContentDeveloper|ContentEditor|parttimejobs|fulltimejob|jobsinBangalore|jobsinCoimbatore.|
TYPING WORK / ONLINE FREELANCER WORK,Zarbex Solutions,Coimbatore|Visakhapatnam,0-5years,Not Specified,"we are providing work from home jobs to every individuals , basic typing skills  and laptop/computer is mandatory for this work. this platform is available for serious job seekers. No registration fees for joining.",WorkFromHome|TypingWork|ContentWriter|ContentDeveloper|ContentEditor|parttimejobs|fulltimejob|jobsinVisakhapatnam|jobsinCoimbatore.|
