jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
Tourism & Hospitality Trainer,2COMS Consulting Private Limited,Valsad,5-15years,Not Specified,RequirementsUrgent opening for Tourism & Hospitality Trainer(Valsad-Gujrat)Qualification & ExperienceCertification in the domain/Diploma or degree on Hotel Management/Diploma & Degree on any other streamToT certification: PreferredExperience: 5,Tourism&HospitalityTrainer|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Ahmednagar|Ajmer,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Chennai|Delhi,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Delhi|Hyderabad/Secunderabad,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Coimbatore|Darbhanga,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Amravati|Anantapur,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Agartala|Thane,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Baddi|Anjar,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Chandigarh|Chandrapur,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Bhopal|Bhubaneswar,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
Airport/ Airlines Job-Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry,Future Career Point,Bareilly|Belgaum,0-5years,220000 - 520000 INR,Urgent Hiring for Airlines/ Airport for the multiple profile Ground Staff / Cabin Crew / Air-Ticketing/Cashier/Data Entry etc,GroundStaff|CabinCrew|Air-Ticketing|Cashier|DataEntry|Backed|Accountant|Operation|AirHostes|Hospitalty|Tourism.|Computeroperator|
