jobTitles,Company,jobLocations,requiredExperiance,Salary,JobDescription,Skills
ASP.NET Developer  .Net Programmer,Lakshya,Mohali|Chandigarh,1-2years,180000 - 360000 INR,This is full time job. Office and Work from home both option are available.,webapl|Asp.Net|C#|Aspdotnet|Ado.net|AJAX|AjaxFramework|
looking for a UI Developer,Best infosystems Ltd,Bengaluru/Bangalore|Hyderabad/Secunderabad,3-6years,Not Specified,"• Hands-on experience in optimizing the UI of an application. |  • Good understanding of asynchronous request handling, partial page updates, and AJAX. |  Proficient understanding of web mark-up, including HTML5, CSS3. |  • Basic understanding of CSS pre-pro |",UIDeveloper|HTML|CSS|AJAX|
Full Stack Developer,Lakshya,Mohali|Chandigarh,1-3years,280000 - 480000 INR,We are looking for Full Stack developer. Fresher and experience both can apply.,FullStackDeveloper|asp.net|Ado.net|ajax|AJAX|CSS|Asp.Net|.NET|Css3|
Developer -Intern,TRANSCENDIX PARTNERS LLP,Pune,0-1years,Not Specified,"We are looking for interns who have completed their education or pursuing their final semester. The duration of this internship will be 3 months, post this internship if you exceed in performance there is a chance for you to be a permanent employee.",Phpdeveloper|Mysql|HTML|AJAX|
Java Developer,Diraa HR Services,Chennai|Coimbatore,2-5years,Not Specified,"A Java Developer is responsible for the programming and development of applications and software using the popular programming language, Java.",Javascript|Jscript|Php|Xml|Jquery|AJAX|HTML|CSS|
Java Developer Core Java,Winx Consulting Services,Hyderabad/Secunderabad,2-6years,500000 - 900000 INR,"2+ years experience in java/j2ee |     Experience into spring boot, microservices,Hibernet, Agile methodlogy, |     Any one of the cloud comphenent |      |     Structs(Good to have)",Javascript|HTML|AJAX|Xml|Jscript|CSS|
UI Developer,Nscript Web Studios Private Limited,Chennai,2-5years,200000 - 500000 INR,"Immediate job opening for Front end developer with strong skills in HTML,CSS, bootstrap and Javasccript",HTML|CSS|Javascript|AJAX|Bootstrap|jQuery|PsdToHtml|
PHP Developer/PHP web Developer,Deep Technologies,Surat,1-4years,120000 - 330000 INR,We are currently looking for a candidate Minimum of 2 years of experience in the PHP field for Surat Location and who has a minimum computer graduation qualification.,WebDeveloper|Phpdeveloper|PHPprogrammer|PhpMysql|PhpMysqlAjax|jQuery|Javascript|HTML|CSS|AJAX|Php|
Sr. UI Developer,Akken Technologies Private Limited,Hyderabad/Secunderabad,5-10years,Not Specified,We are looking for creative and enthusiastic Sr. UI Developer to join our product development team. He / She should be able to take ownership of all aspects of user interface development to meet business requirements across platforms.,UIDeveloper|WebDeveloper|Photoshop|CSS|Javascript|HTML|AJAX|Dreamweaver|
Immediate Opening For Core PHP Developer,Nscript Web Studios Private Limited,Chennai,2-4years,200000 - 400000 INR,Looking for an experienced and smart Core PHP developer,CorePhp|PHPDeveloper|Javascript|AJAX|Jquery|HTML|CSS|Framework|
Website Designer HTML5 CSS3 Developer Responsive Website Designers Mobile Friendly web site CSS HTML,DRPU Software Pvt. Ltd.,Noida|Ghaziabad,0-2years,200000 - 580000 INR,We are looking for Creative Website Designers having Good knowledge of Designing of Responsive Layout Web sites based on HTML5 CSS3. Website Designers and Mobile Friendly web site Developers with Good hand on CSS CSS3 HTML 5.,WebsiteDesigner|Html5|Css3|Java|Php|MySQL|AJAX|Javascript|CSS|HTML|
Full Stack Engineers,Best infosystems Ltd,Noida|Pune,3-6years,Not Specified,"• Strong experience in building smooth UI/UX workflows to satisfy the business requirements. |  • Should have experience with both SQL and NoSQL databases. Experience with inmemory databases like Redis is a plus.NodeJS micro-services,CI/CD pipelines.",CI/CD|Node.js|CSS|JavaScript|AJAX|Sdlc|
